id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Compound Score
19591910,"Parkdale-KingWest. Eclectic, Quiet & Fully Loaded.",12449974,Anita & Noah,South Parkdale,43.6386,-79.42774,Entire home/apt,129,1,63.5,2.47,1,239,7.5,0.808471212
19593508,Awesome Bsmt  in Downtown Detached house,137738456,Andrea,Annex,43.67399,-79.40568,Entire home/apt,108,5,63.5,2.4,1,217,7.5,0.823141525
19608972,Luxurious Private Room Balcony walk2subway station,133256397,Sam,Willowdale East,43.77278,-79.40542,Private room,40,28,29,0.51,4,250,0,0.838551852
19610392,Luxurious Private Room walk to NY subway station,133256397,Sam,Willowdale East,43.77128,-79.40494,Private room,38,28,16,0.28,4,86,1,0.78753125
19610914,"Private Room, Ensuite Washroom, walk to NYC subway",133256397,Sam,Willowdale East,43.77145,-79.4035,Private room,44,28,24,0.42,4,87,1,0.834572727
19620071,"Private Room, desk, EnSuite bathroom Walk2Subway",133256397,Sam,Willowdale East,43.77118,-79.40326,Private room,44,28,29,0.51,4,56,1,0.761662963
19621698,Great place,23310500,Frank,North Riverdale,43.67815,-79.34819,Entire home/apt,80,28,63.5,2.47,8.5,117,2,0.795081081
19623790,Arts Centric House in Downtown Toronto 2,30017611,Angela,Waterfront Communities-The Island,43.64459,-79.4021,Private room,75,28,61,1.2,2,70,0,0.904361818
19631936,"Parkdale, self contained 1 bedroom apt  with deck",93626034,Chip,Roncesvalles,43.64381,-79.43329,Entire home/apt,100,29,24,0.43,2,218,2,0.857069565
19650556,Colourful 1 Bdr Apartment on Danforth in Greektown,138320326,Andrew,Blake-Jones,43.67909,-79.34014,Entire home/apt,70,28,10,0.18,1,0,0,0.7967
19654560,Modern and Bright Close to Transit + Parking,29185641,Andrew And Kelly,Rockcliffe-Smythe,43.67063,-79.48438,Entire home/apt,71,28,4,0.07,2,0,0,0.71115
19655045,"Cozy Bedroom w/ balcony @ York University, Toronto",30753730,Jeishan,York University Heights,43.76745,-79.50156,Private room,30,28,25,0.48,8.5,127,2,0.721616
19655172,Cozy Family Friendly 2 Bedroom Apartment,13622937,Mariyam,South Parkdale,43.64147,-79.42666,Entire home/apt,77,28,13,0.23,1,63,3,0.867930769
19656819,Alexia's Place,59086434,Clifton,Greenwood-Coxwell,43.66587,-79.32142,Entire home/apt,110,28,5,0.1,1,0,0,0.82604
19659087,"Snug Bedroom w/ balcony @ York University, Toronto",30753730,Jeishan,York University Heights,43.76775,-79.50179,Private room,30,28,21,0.37,8.5,313,2,0.82027
19660231,Queen (Bed)room + large closet @ York University,30753730,Jeishan,York University Heights,43.76775,-79.50179,Private room,31,28,9,0.16,8.5,311,1,0.8082875
19661207,Private Cozy Studio Apartment,505854,Erica,Weston-Pellam Park,43.67272,-79.46328,Entire home/apt,90,3,10,0.18,1,328,2,0.5246
19661492,Always Joyful,16727035,Joy Yuan,Pleasant View,43.78621,-79.34031,Entire home/apt,159,28,10,0.17,1,0,0,0.4955125
19661810,Family Friendly Apartment on High Park Avenue,32685997,Sandra,High Park North,43.65948,-79.46616,Entire home/apt,100,28,63.5,1.2,1,0,0,0.869493846
19661957,Sweet Bedroom by Woodbine Beach,30970939,Denise,Woodbine Corridor,43.66717,-79.31329,Private room,50,28,6,0.11,1,0,0,0.932166667
19662594,Private Haven in Leslieville,14228049,Noam,South Riverdale,43.65843,-79.33973,Entire home/apt,80,1,63.5,2.47,2,46,0,0.827321233
19662741,Get Up Close and Personal with the CN Tower at a Stylish Pad,117031662,Helen,Waterfront Communities-The Island,43.64097,-79.38279,Entire home/apt,162,2,63.5,2.47,2,236,7.5,0.812138995
19672835,Unique and stylish in The Danforth!,71348813,Morgen,Danforth,43.6815,-79.33855,Private room,70,1,55,0.98,1,334,7.5,0.92985102
19674873,-,93550955,Alma,West Hill,43.76476,-79.17623,Entire home/apt,95,28,14,0.25,5,205,0,0.800171429
19682162,"Full Townhouse, 2 Individual Units",43032368,Luigi,Kensington-Chinatown,43.65087,-79.38935,Entire home/apt,269,28,31,0.6,3,310,0,0.866576667
19685904,Private Suite in Downtown Toronto-Hotel experience,84432516,Deji,Niagara,43.64398,-79.4111,Entire home/apt,70,28,8,0.14,2,0,0,0.8954
19693783,Bright 1+Den Steps away from the Lake,3871775,Callie,Mimico (includes Humber Bay Shores),43.62483,-79.48763,Entire home/apt,80,28,2,0.04,1,0,0,0.7542
